D_TEMPORAL_0;D_TERRITORIO_0;D_TIPOMATRIMONIO_0;INDICATOR;OBS_VALUE;FREQ
2018;14;3;Divorcios;3.936;A
2018;18;00;Divorcios;1684.5826;A
2018;18;1;Divorcios;1672.094;A
2018;18;23;Divorcios;12.4886;A
2018;18;2;Divorcios;9.7507;A
2018;18;3;Divorcios;2.7379;A
2018;21;00;Divorcios;986.218;A
2018;21;1;Divorcios;983.16;A
2018;21;23;Divorcios;3.058;A
2018;21;3;Divorcios;3.058;A
2018;23;00;Divorcios;1108.2069;A
2018;23;1;Divorcios;1108.2069;A
2018;23;23;Divorcios;;A
2018;23;2;Divorcios;;A
2018;29;00;Divorcios;3718.358;A
2018;29;1;Divorcios;3682.9801;A
2018;29;23;Divorcios;35.3779;A
2018;29;2;Divorcios;16.1591;A
2018;29;3;Divorcios;19.2188;A
2018;41;00;Divorcios;4085.2617;A
2018;41;1;Divorcios;4036.1445;A
2018;41;23;Divorcios;49.1172;A
2018;41;2;Divorcios;25.2238;A
2018;41;3;Divorcios;23.8934;A
2017;C01;00;Divorcios;17436.6101;A
2017;C01;1;Divorcios;17275.9301;A
2017;C01;23;Divorcios;160.68;A
2017;C01;2;Divorcios;84.466;A
2017;C01;3;Divorcios;76.214;A
2017;04;00;Divorcios;1454.7143;A
2017;04;1;Divorcios;1446.0577;A
2017;04;23;Divorcios;8.6566;A
2017;04;2;Divorcios;3.5677;A
2017;04;3;Divorcios;5.0889;A
2017;11;00;Divorcios;2406.3281;A
2017;11;1;Divorcios;2368.7029;A
2017;11;23;Divorcios;37.6252;A
2017;11;2;Divorcios;12.8913;A
2017;11;3;Divorcios;24.7339;A
2017;14;00;Divorcios;1426.032;A
2017;14;1;Divorcios;1405.2;A
2017;14;23;Divorcios;20.832;A
2017;14;2;Divorcios;6.6085;A
2017;14;3;Divorcios;14.2235;A
2017;18;00;Divorcios;1990.6668;A
2017;18;1;Divorcios;1969.764;A
2017;18;23;Divorcios;20.9028;A
2017;18;2;Divorcios;16.8724;A
2017;18;3;Divorcios;4.0304;A
2017;21;00;Divorcios;1060.4795;A
2017;21;1;Divorcios;1051.9832;A
2017;21;23;Divorcios;8.4963;A
2017;21;2;Divorcios;6.5155;A
2017;21;3;Divorcios;1.9808;A
2017;23;00;Divorcios;1127.8821;A
2017;23;1;Divorcios;1127.8821;A
2017;29;00;Divorcios;3652.1307;A
2017;29;1;Divorcios;3614.9226;A
2017;29;23;Divorcios;37.2081;A
2017;29;2;Divorcios;21.7821;A
2017;29;3;Divorcios;15.426;A
2017;41;00;Divorcios;4318.3766;A
2017;41;1;Divorcios;4291.4176;A
2017;41;23;Divorcios;26.959;A
2017;41;2;Divorcios;16.2285;A
2017;41;3;Divorcios;10.7305;A
2016;C01;00;Divorcios;16968.2676;A
2016;C01;1;Divorcios;16778.8408;A
2016;C01;23;Divorcios;189.4268;A
2016;C01;2;Divorcios;118.7851;A
2016;C01;3;Divorcios;70.6417;A
2016;04;00;Divorcios;1425.5804;A
2016;04;1;Divorcios;1414.9309;A
2016;04;23;Divorcios;10.6495;A
2016;04;2;Divorcios;1.3299;A
2016;04;3;Divorcios;9.3196;A
2016;11;00;Divorcios;2275.825;A
2016;11;1;Divorcios;2257.6356;A
2016;11;23;Divorcios;18.1894;A
2016;11;2;Divorcios;12.4596;A
2016;11;3;Divorcios;5.7298;A
2016;14;00;Divorcios;1473.292;A
2016;14;1;Divorcios;1452.1577;A
2016;14;23;Divorcios;21.1343;A
2016;14;2;Divorcios;14.6098;A
2016;14;3;Divorcios;6.5245;A
2016;18;00;Divorcios;1937.4432;A
2016;18;1;Divorcios;1913.6128;A
2016;18;23;Divorcios;23.8304;A
2016;18;2;Divorcios;16.3728;A
2016;18;3;Divorcios;7.4576;A
2016;21;00;Divorcios;1053.5608;A
2016;21;1;Divorcios;1041.1856;A
2016;21;23;Divorcios;12.3752;A
2016;21;2;Divorcios;6.1876;A
2016;21;3;Divorcios;6.1876;A
2016;23;00;Divorcios;1120.7404;A
2016;23;1;Divorcios;1112.2664;A
2016;23;23;Divorcios;8.474;A
2016;23;2;Divorcios;6.9792;A
2016;23;3;Divorcios;1.4948;A
2016;29;00;Divorcios;3657.8326;A
2016;29;1;Divorcios;3607.32;A
2016;29;23;Divorcios;50.5126;A
2016;29;2;Divorcios;35.5078;A
2016;29;3;Divorcios;15.0048;A
2016;41;00;Divorcios;4023.9932;A
2016;41;1;Divorcios;3979.7318;A
2016;41;23;Divorcios;44.2614;A
2016;41;2;Divorcios;25.3384;A
2016;41;3;Divorcios;18.923;A
2015;C01;00;Divorcios;17029.5907;A
2015;C01;1;Divorcios;16912.0991;A
2015;C01;23;Divorcios;117.4916;A
2015;C01;2;Divorcios;55.0451;A
2015;C01;3;Divorcios;62.4465;A
2015;04;00;Divorcios;1398.5163;A
2015;04;1;Divorcios;1392.2019;A
2015;04;23;Divorcios;6.3144;A
2015;04;2;Divorcios;3.1572;A
2015;04;3;Divorcios;3.1572;A
2015;11;00;Divorcios;2355.5567;A
2015;11;1;Divorcios;2334.0279;A
2015;11;23;Divorcios;21.5288;A
2015;11;2;Divorcios;9.5628;A
2015;11;3;Divorcios;11.966;A
2015;14;00;Divorcios;1621.987;A
2015;14;1;Divorcios;1617.5185;A
2015;14;23;Divorcios;4.4685;A
2015;14;2;Divorcios;1.4895;A
2015;14;3;Divorcios;2.979;A
2015;18;00;Divorcios;1864.9266;A
2015;18;1;Divorcios;1854.6126;A
2015;18;23;Divorcios;10.314;A
2015;18;2;Divorcios;1.719;A
2015;18;3;Divorcios;8.595;A
2015;21;00;Divorcios;1022.9657;A
2015;21;1;Divorcios;1011.7548;A
2015;21;23;Divorcios;11.2109;A
2015;21;2;Divorcios;6.7532;A
2015;21;3;Divorcios;4.4577;A
2015;23;00;Divorcios;1197.5493;A
2015;23;1;Divorcios;1192.992;A
2015;23;23;Divorcios;4.5573;A
2015;23;2;Divorcios;3.0382;A
2015;23;3;Divorcios;1.5191;A
2015;29;00;Divorcios;3560.4711;A
2015;29;1;Divorcios;3522.1752;A
2015;29;23;Divorcios;38.2959;A
2015;29;2;Divorcios;18.042;A
2015;29;3;Divorcios;20.2539;A
2015;41;00;Divorcios;4007.618;A
2015;41;1;Divorcios;3986.8162;A
2015;41;23;Divorcios;20.8018;A
2015;41;2;Divorcios;11.2832;A
2015;41;3;Divorcios;9.5186;A
2014;C01;00;Divorcios;17376.98787;A
2014;C01;1;Divorcios;17266.97361;A
2014;C01;23;Divorcios;110.01426;A
2014;C01;2;Divorcios;67.64096;A
2014;C01;3;Divorcios;42.3733;A
2014;04;00;Divorcios;1315.503;A
2014;04;1;Divorcios;1308.438;A
2014;04;23;Divorcios;7.065;A
2014;04;2;Divorcios;2.826;A
2014;04;3;Divorcios;4.239;A
2014;11;00;Divorcios;2485.68082;A
2014;11;1;Divorcios;2470.65252;A
2014;11;23;Divorcios;15.0283;A
2014;11;2;Divorcios;7.51415;A
2014;11;3;Divorcios;7.51415;A
2014;14;00;Divorcios;1712.10316;A
2014;14;1;Divorcios;1705.44128;A
2014;14;23;Divorcios;6.66188;A
2014;14;2;Divorcios;3.33094;A
2014;14;3;Divorcios;3.33094;A
2014;18;00;Divorcios;1848.68385;A
2014;18;1;Divorcios;1831.9743;A
2014;18;23;Divorcios;16.70955;A
2014;18;2;Divorcios;13.67145;A
2014;18;3;Divorcios;3.0381;A
2014;21;00;Divorcios;1140.17566;A
2014;21;1;Divorcios;1133.10261;A
2014;21;23;Divorcios;7.07305;A
2014;21;2;Divorcios;4.24383;A
2014;21;3;Divorcios;2.82922;A
2014;23;00;Divorcios;1180.1112;A
2014;23;1;Divorcios;1178.6434;A
2014;23;23;Divorcios;1.4678;A
2014;23;3;Divorcios;1.4678;A
2014;29;00;Divorcios;3567.8708;A
2014;29;1;Divorcios;3545.3301;A
2014;29;23;Divorcios;22.5407;A
2014;29;2;Divorcios;19.3206;A
2014;29;3;Divorcios;3.2201;A
2014;41;00;Divorcios;4126.85938;A
2014;41;1;Divorcios;4093.3914;A
2014;41;23;Divorcios;33.46798;A
2014;41;2;Divorcios;16.73399;A
2014;41;3;Divorcios;16.73399;A
2013;C01;00;Divorcios;16473.17478;A
2013;C01;1;Divorcios;16408.28227;A
2013;C01;23;Divorcios;64.89251;A
2013;C01;2;Divorcios;32.43898;A
2013;C01;3;Divorcios;32.45353;A
2013;04;00;Divorcios;1267.4696;A
2013;04;1;Divorcios;1262.5442;A
2013;04;23;Divorcios;4.9254;A
2013;04;2;Divorcios;3.2836;A
2013;04;3;Divorcios;1.6418;A
2013;11;00;Divorcios;2358.7305;A
2013;11;1;Divorcios;2348.47515;A
2013;11;23;Divorcios;10.25535;A
2013;11;2;Divorcios;5.8602;A
2013;11;3;Divorcios;4.39515;A
2013;14;00;Divorcios;1452.76866;A
2013;14;1;Divorcios;1448.69928;A
2013;14;23;Divorcios;4.06938;A
2013;14;2;Divorcios;2.71292;A
2013;14;3;Divorcios;1.35646;A
2013;18;00;Divorcios;1822.15704;A
2013;18;1;Divorcios;1813.9737;A
2013;18;23;Divorcios;8.18334;A
2013;18;2;Divorcios;5.45556;A
2013;18;3;Divorcios;2.72778;A
2013;21;00;Divorcios;995.33511;A
2013;21;1;Divorcios;991.0263;A
2013;21;23;Divorcios;4.30881;A
2013;21;2;Divorcios;1.43627;A
2013;21;3;Divorcios;2.87254;A
2013;23;00;Divorcios;1155.71547;A
2013;23;1;Divorcios;1154.30434;A
2013;23;23;Divorcios;1.41113;A
2013;23;2;Divorcios;1.41113;A
2013;29;00;Divorcios;3581.6334;A
2013;29;1;Divorcios;3565.8363;A
2013;29;23;Divorcios;15.7971;A
2013;29;2;Divorcios;4.3083;A
2013;29;3;Divorcios;11.4888;A
2013;41;00;Divorcios;3839.365;A
2013;41;1;Divorcios;3823.423;A
2013;41;23;Divorcios;15.942;A
2013;41;2;Divorcios;7.971;A
2013;41;3;Divorcios;7.971;A
2012;C01;00;Divorcios;19100.05171;A
2012;C01;1;Divorcios;19044.05171;A
2012;C01;23;Divorcios;56.0;A
2012;C01;2;Divorcios;40.0;A
2012;C01;3;Divorcios;16.0;A
2012;04;00;Divorcios;1673.28115;A
2012;04;1;Divorcios;1670.28115;A
2012;04;23;Divorcios;3.0;A
2012;04;2;Divorcios;2.0;A
2012;04;3;Divorcios;1.0;A
2012;11;00;Divorcios;2751.43454;A
2012;11;1;Divorcios;2745.43454;A
2012;11;23;Divorcios;6.0;A
2012;11;2;Divorcios;6.0;A
2012;14;00;Divorcios;1519.27045;A
2012;14;1;Divorcios;1515.27045;A
2012;14;23;Divorcios;4.0;A
2012;14;2;Divorcios;4.0;A
2012;18;00;Divorcios;2194.10578;A
2012;18;1;Divorcios;2188.10578;A
2012;18;23;Divorcios;6.0;A
2012;18;2;Divorcios;4.0;A
2012;18;3;Divorcios;2.0;A
2012;21;00;Divorcios;1090.26737;A
2012;21;1;Divorcios;1090.26737;A
2012;23;00;Divorcios;1282.34085;A
2012;23;1;Divorcios;1281.34085;A
2012;23;23;Divorcios;1.0;A
2012;23;2;Divorcios;1.0;A
2012;29;00;Divorcios;4090.46015;A
2012;29;1;Divorcios;4069.46015;A
2012;29;23;Divorcios;21.0;A
2012;29;2;Divorcios;14.0;A
2012;29;3;Divorcios;7.0;A
2012;41;00;Divorcios;4498.89142;A
2012;41;1;Divorcios;4483.89142;A
2012;41;23;Divorcios;15.0;A
2012;41;2;Divorcios;9.0;A
2012;41;3;Divorcios;6.0;A
2011;C01;00;Divorcios;18257.58564089;A
2011;C01;1;Divorcios;18210.58564089;A
2011;C01;23;Divorcios;47.0;A
2011;C01;2;Divorcios;25.0;A
2011;C01;3;Divorcios;22.0;A
2011;04;00;Divorcios;1426.82187464;A
2011;04;1;Divorcios;1426.82187464;A
2011;11;00;Divorcios;2822.48660103;A
2011;11;1;Divorcios;2816.48660103;A
2011;11;23;Divorcios;6.0;A
2011;11;2;Divorcios;3.0;A
2011;11;3;Divorcios;3.0;A
2011;14;00;Divorcios;1607.8291226;A
2011;14;1;Divorcios;1604.8291226;A
2011;14;23;Divorcios;3.0;A
2011;14;2;Divorcios;1.0;A
2011;14;3;Divorcios;2.0;A
2011;18;00;Divorcios;2058.63585768;A
2011;18;1;Divorcios;2057.63585768;A
2011;18;23;Divorcios;1.0;A
2011;18;2;Divorcios;1.0;A
2011;21;00;Divorcios;976.40048302;A
2011;21;1;Divorcios;972.40048302;A
2011;21;23;Divorcios;4.0;A
2011;21;2;Divorcios;3.0;A
2011;21;3;Divorcios;1.0;A
2011;23;00;Divorcios;1223.16206129;A
2011;23;1;Divorcios;1220.16206129;A
2011;23;23;Divorcios;3.0;A
2011;23;2;Divorcios;2.0;A
2011;23;3;Divorcios;1.0;A
2011;29;00;Divorcios;3827.02436747;A
2011;29;1;Divorcios;3813.02436747;A
2011;29;23;Divorcios;14.0;A
2011;29;2;Divorcios;9.0;A
2011;29;3;Divorcios;5.0;A
2011;41;00;Divorcios;4315.22527316;A
2011;41;1;Divorcios;4299.22527316;A
2011;41;23;Divorcios;16.0;A
2011;41;2;Divorcios;6.0;A
2011;41;3;Divorcios;10.0;A
2010;C01;00;Divorcios;18373.44232079;A
2010;C01;1;Divorcios;18337.44232079;A
2010;C01;23;Divorcios;36.0;A
2010;C01;2;Divorcios;18.0;A
2010;C01;3;Divorcios;18.0;A
2010;04;00;Divorcios;1362.40772485;A
2010;04;1;Divorcios;1356.40772485;A
2010;04;23;Divorcios;6.0;A
2010;04;2;Divorcios;3.0;A
2010;04;3;Divorcios;3.0;A
2010;11;00;Divorcios;2718.61775842;A
2010;11;1;Divorcios;2714.61775842;A
2010;11;23;Divorcios;4.0;A
2010;11;2;Divorcios;2.0;A
2010;11;3;Divorcios;2.0;A
2010;14;00;Divorcios;1659.02026916;A
2010;14;1;Divorcios;1654.02026916;A
2010;14;23;Divorcios;5.0;A
2010;14;2;Divorcios;3.0;A
2010;14;3;Divorcios;2.0;A
2010;18;00;Divorcios;2005.38373943;A
2010;18;1;Divorcios;2005.38373943;A
2010;21;00;Divorcios;992.51673019;A
2010;21;1;Divorcios;991.51673019;A
2010;21;23;Divorcios;1.0;A
2010;21;2;Divorcios;1.0;A
2010;23;00;Divorcios;1193.6878551;A
2010;23;1;Divorcios;1190.6878551;A
2010;23;23;Divorcios;3.0;A
2010;23;3;Divorcios;3.0;A
2010;29;00;Divorcios;3876.9745934;A
2010;29;1;Divorcios;3870.9745934;A
2010;29;23;Divorcios;6.0;A
2010;29;2;Divorcios;3.0;A
2010;29;3;Divorcios;3.0;A
2010;41;00;Divorcios;4564.83365024;A
2010;41;1;Divorcios;4553.83365024;A
2010;41;23;Divorcios;11.0;A
2010;41;2;Divorcios;6.0;A
2010;41;3;Divorcios;5.0;A
2009;C01;00;Divorcios;17493.840001105;A
2009;C01;1;Divorcios;17474.840001105;A
2009;C01;23;Divorcios;19.0;A
2009;C01;2;Divorcios;10.0;A
2009;C01;3;Divorcios;9.0;A
2009;04;00;Divorcios;1275.959999958;A
2009;04;1;Divorcios;1275.959999958;A
2009;11;00;Divorcios;2773.590000972;A
2009;11;1;Divorcios;2767.590000972;A
2009;11;23;Divorcios;6.0;A
2009;11;2;Divorcios;2.0;A
2009;11;3;Divorcios;4.0;A
2009;14;00;Divorcios;1537.74000012;A
2009;14;1;Divorcios;1537.74000012;A
2009;18;00;Divorcios;1967.070000359;A
2009;18;1;Divorcios;1967.070000359;A
2009;21;00;Divorcios;1012.380000091;A
2009;21;1;Divorcios;1012.380000091;A
2009;23;00;Divorcios;1122.459999905;A
2009;23;1;Divorcios;1121.459999905;A
2009;23;23;Divorcios;1.0;A
2009;23;2;Divorcios;1.0;A
2009;29;00;Divorcios;3607.690000055;A
2009;29;1;Divorcios;3602.690000055;A
2009;29;23;Divorcios;5.0;A
2009;29;2;Divorcios;3.0;A
2009;29;3;Divorcios;2.0;A
2009;41;00;Divorcios;4196.949999645;A
2009;41;1;Divorcios;4189.949999645;A
2009;41;23;Divorcios;7.0;A
2009;41;2;Divorcios;4.0;A
2009;41;3;Divorcios;3.0;A
2008;C01;00;Divorcios;19784.701197956;A
2008;C01;1;Divorcios;19772.701197956;A
2008;C01;23;Divorcios;12.0;A
2008;C01;2;Divorcios;4.0;A
2008;C01;3;Divorcios;8.0;A
2008;04;00;Divorcios;1459.899390218;A
2008;04;1;Divorcios;1459.899390218;A
2008;11;00;Divorcios;3029.88628849;A
2008;11;1;Divorcios;3025.88628849;A
2008;11;23;Divorcios;4.0;A
2008;11;2;Divorcios;2.0;A
2008;11;3;Divorcios;2.0;A
2008;14;00;Divorcios;1595.530376772;A
2008;14;1;Divorcios;1595.530376772;A
2008;18;00;Divorcios;2172.357568834;A
2008;18;1;Divorcios;2172.357568834;A
2008;21;00;Divorcios;1165.944181717;A
2008;21;1;Divorcios;1165.944181717;A
2008;23;00;Divorcios;1297.204501345;A
2008;23;1;Divorcios;1296.204501345;A
2008;23;23;Divorcios;1.0;A
2008;23;3;Divorcios;1.0;A
2008;29;00;Divorcios;4187.089941605;A
2008;29;1;Divorcios;4180.089941605;A
2008;29;23;Divorcios;7.0;A
2008;29;2;Divorcios;2.0;A
2008;29;3;Divorcios;5.0;A
2008;41;00;Divorcios;4876.788948975;A
2008;41;1;Divorcios;4876.788948975;A
2007;C01;00;Divorcios;21609.099999161;A
2007;C01;1;Divorcios;21602.099999161;A
2007;C01;23;Divorcios;7.0;A
2007;C01;2;Divorcios;5.0;A
2007;C01;3;Divorcios;2.0;A
2007;04;00;Divorcios;1642.139999901;A
2007;04;1;Divorcios;1642.139999901;A
2007;11;00;Divorcios;3287.229999146;A
2007;11;1;Divorcios;3286.229999146;A
2007;11;23;Divorcios;1.0;A
2007;11;2;Divorcios;1.0;A
2007;14;00;Divorcios;1853.999999925;A
2007;14;1;Divorcios;1853.999999925;A
2007;18;00;Divorcios;2389.41000052;A
2007;18;1;Divorcios;2389.41000052;A
2007;21;00;Divorcios;1393.309999774;A
2007;21;1;Divorcios;1393.309999774;A
2007;23;00;Divorcios;1422.190000204;A
2007;23;1;Divorcios;1422.190000204;A
2007;29;00;Divorcios;4555.859999734;A
2007;29;1;Divorcios;4551.859999734;A
2007;29;23;Divorcios;4.0;A
2007;29;2;Divorcios;2.0;A
2007;29;3;Divorcios;2.0;A
2007;41;00;Divorcios;5064.959999957;A
2007;41;1;Divorcios;5062.959999957;A
2007;41;23;Divorcios;2.0;A
2007;41;2;Divorcios;2.0;A
2006;C01;00;Divorcios;21218.50087;A
2006;C01;1;Divorcios;21218.50087;A
2006;04;00;Divorcios;1595.879802;A
2006;04;1;Divorcios;1595.879802;A
2006;11;00;Divorcios;3145.260002;A
2006;11;1;Divorcios;3145.260002;A
2006;14;00;Divorcios;1834.890112;A
2006;14;1;Divorcios;1834.890112;A
2006;18;00;Divorcios;2080.80049;A
2006;18;1;Divorcios;2080.80049;A
2006;21;00;Divorcios;1332.84986;A
2006;21;1;Divorcios;1332.84986;A
2006;23;00;Divorcios;1309.440144;A
2006;23;1;Divorcios;1309.440144;A
2006;29;00;Divorcios;4712.309813;A
2006;29;1;Divorcios;4712.309813;A
2006;41;00;Divorcios;5207.070647;A
2006;41;1;Divorcios;5207.070647;A
2005;C01;00;Divorcios;10748.000406;A
2005;C01;1;Divorcios;10748.000406;A
2005;04;00;Divorcios;833.000224;A
2005;04;1;Divorcios;833.000224;A
2005;11;00;Divorcios;1642.999986;A
2005;11;1;Divorcios;1642.999986;A
2005;14;00;Divorcios;939.000159;A
2005;14;1;Divorcios;939.000159;A
2005;18;00;Divorcios;959.000189;A
2005;18;1;Divorcios;959.000189;A
2005;21;00;Divorcios;726.999975;A
2005;21;1;Divorcios;726.999975;A
2005;23;00;Divorcios;636.999935;A
2005;23;1;Divorcios;636.999935;A
2005;29;00;Divorcios;2312.000002;A
2005;29;1;Divorcios;2312.000002;A
2005;41;00;Divorcios;2697.999936;A
2005;41;1;Divorcios;2697.999936;A
2004;C01;00;Divorcios;7744.999297;A
2004;C01;1;Divorcios;7744.999297;A
2004;04;00;Divorcios;623.000146;A
2004;04;1;Divorcios;623.000146;A
2004;11;00;Divorcios;1177.000044;A
2004;11;1;Divorcios;1177.000044;A
2004;14;00;Divorcios;607.00024;A
2004;14;1;Divorcios;607.00024;A
2004;18;00;Divorcios;873.000025;A
2004;18;1;Divorcios;873.000025;A
2004;21;00;Divorcios;473.000077;A
2004;21;1;Divorcios;473.000077;A
2004;23;00;Divorcios;411.9999;A
2004;23;1;Divorcios;411.9999;A
2004;29;00;Divorcios;1704.999483;A
2004;29;1;Divorcios;1704.999483;A
2004;41;00;Divorcios;1874.999382;A
2004;41;1;Divorcios;1874.999382;A
2003;C01;00;Divorcios;6791.000174;A
2003;C01;1;Divorcios;6791.000174;A
2003;04;00;Divorcios;513.000075;A
2003;04;1;Divorcios;513.000075;A
2003;11;00;Divorcios;1006.00038;A
2003;11;1;Divorcios;1006.00038;A
2003;14;00;Divorcios;567.99999;A
2003;14;1;Divorcios;567.99999;A
2003;18;00;Divorcios;787.999854;A
2003;18;1;Divorcios;787.999854;A
2003;21;00;Divorcios;439.999954;A
2003;21;1;Divorcios;439.999954;A
2003;23;00;Divorcios;408.000085;A
2003;23;1;Divorcios;408.000085;A
2003;29;00;Divorcios;1500.999744;A
2003;29;1;Divorcios;1500.999744;A
2003;41;00;Divorcios;1567.000092;A
2003;41;1;Divorcios;1567.000092;A
2002;C01;00;Divorcios;6363.999709;A
2002;C01;1;Divorcios;6363.999709;A
2002;04;00;Divorcios;462.9999;A
2002;04;1;Divorcios;462.9999;A
2002;11;00;Divorcios;957.999859;A
2002;11;1;Divorcios;957.999859;A
2002;14;00;Divorcios;493.999804;A
2002;14;1;Divorcios;493.999804;A
2002;18;00;Divorcios;746.999952;A
2002;18;1;Divorcios;746.999952;A
2002;21;00;Divorcios;333.0;A
2002;21;1;Divorcios;333.0;A
2002;23;00;Divorcios;356.999936;A
2002;23;1;Divorcios;356.999936;A
2002;29;00;Divorcios;1505.000544;A
2002;29;1;Divorcios;1505.000544;A
2002;41;00;Divorcios;1506.999714;A
2002;41;1;Divorcios;1506.999714;A
2001;C01;00;Divorcios;5750.999337;A
2001;C01;1;Divorcios;5750.999337;A
2001;04;00;Divorcios;423.999939;A
2001;04;1;Divorcios;423.999939;A
2001;11;00;Divorcios;862.99983;A
2001;11;1;Divorcios;862.99983;A
2001;14;00;Divorcios;500.000085;A
2001;14;1;Divorcios;500.000085;A
2001;18;00;Divorcios;630.000204;A
2001;18;1;Divorcios;630.000204;A
2001;21;00;Divorcios;327.999998;A
2001;21;1;Divorcios;327.999998;A
2001;23;00;Divorcios;297.999919;A
2001;23;1;Divorcios;297.999919;A
2001;29;00;Divorcios;1340.999712;A
2001;29;1;Divorcios;1340.999712;A
2001;41;00;Divorcios;1366.99965;A
2001;41;1;Divorcios;1366.99965;A
2000;C01;00;Divorcios;5740.00032;A
2000;C01;1;Divorcios;5740.00032;A
2000;04;00;Divorcios;411.0;A
2000;04;1;Divorcios;411.0;A
2000;11;00;Divorcios;936.000311;A
2000;11;1;Divorcios;936.000311;A
2000;14;00;Divorcios;464.000102;A
2000;14;1;Divorcios;464.000102;A
2000;18;00;Divorcios;665.999884;A
2000;18;1;Divorcios;665.999884;A
2000;21;00;Divorcios;376.999989;A
2000;21;1;Divorcios;376.999989;A
