D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_SEXOC2_0;INDICATOR;OBS_VALUE;FREQ
2019;14;00;00;Divorcios;1369.08113;A
2019;14;00;01;Divorcios;1.46233;A
2019;14;00;06;Divorcios;1367.6188;A
2019;14;01;00;Divorcios;1358.99051;A
2019;14;01;01;Divorcios;1.46233;A
2019;14;01;06;Divorcios;1357.52818;A
2019;14;06;00;Divorcios;10.09062;A
2019;14;06;06;Divorcios;10.09062;A
2019;18;00;00;Divorcios;1634.5488;A
2019;18;00;01;Divorcios;11.07616;A
2019;18;00;06;Divorcios;1623.47264;A
2019;18;01;00;Divorcios;1628.76288;A
2019;18;01;01;Divorcios;11.07616;A
2019;18;01;06;Divorcios;1617.68672;A
2019;18;06;00;Divorcios;5.78592;A
2019;18;06;06;Divorcios;5.78592;A
2019;21;00;00;Divorcios;1003.79841;A
2019;21;00;01;Divorcios;11.16863;A
2019;21;00;06;Divorcios;992.62978;A
2019;21;01;00;Divorcios;1003.79841;A
2019;21;01;01;Divorcios;11.16863;A
2019;21;01;06;Divorcios;992.62978;A
2019;23;00;00;Divorcios;1181.24056;A
2019;23;00;06;Divorcios;1181.24056;A
2019;23;01;00;Divorcios;1178.20034;A
2019;23;01;06;Divorcios;1178.20034;A
2019;23;06;00;Divorcios;3.04022;A
2019;23;06;06;Divorcios;3.04022;A
2019;29;00;00;Divorcios;3795.50761;A
2019;29;00;01;Divorcios;14.77819;A
2019;29;00;06;Divorcios;3780.72942;A
2019;29;01;00;Divorcios;3777.36705;A
2019;29;01;01;Divorcios;14.77819;A
2019;29;01;06;Divorcios;3762.58886;A
2019;29;06;00;Divorcios;18.14056;A
2019;29;06;06;Divorcios;18.14056;A
2019;41;00;00;Divorcios;4059.5542;A
2019;41;00;01;Divorcios;22.74519;A
2019;41;00;06;Divorcios;4036.80901;A
2019;41;01;00;Divorcios;4034.92479;A
2019;41;01;01;Divorcios;22.74519;A
2019;41;01;06;Divorcios;4012.1796;A
2019;41;06;00;Divorcios;24.62941;A
2019;41;06;06;Divorcios;24.62941;A
2018;C01;00;00;Divorcios;16934.828;A
2018;C01;00;01;Divorcios;72.9398;A
2018;C01;00;06;Divorcios;16861.8882;A
2018;C01;01;00;Divorcios;16870.452;A
2018;C01;01;01;Divorcios;72.9398;A
2018;C01;01;06;Divorcios;16797.5122;A
2018;C01;06;00;Divorcios;64.376;A
2018;C01;06;06;Divorcios;64.376;A
2018;04;00;00;Divorcios;1456.1395;A
2018;04;00;01;Divorcios;4.4904;A
2018;04;00;06;Divorcios;1451.6491;A
2018;04;01;00;Divorcios;1453.8943;A
2018;04;01;01;Divorcios;4.4904;A
2018;04;01;06;Divorcios;1449.4039;A
2018;04;06;00;Divorcios;2.2452;A
2018;04;06;06;Divorcios;2.2452;A
2018;11;00;00;Divorcios;2490.3415;A
2018;11;00;01;Divorcios;14.2172;A
2018;11;00;06;Divorcios;2476.1243;A
2018;11;01;00;Divorcios;2481.0548;A
2018;11;01;01;Divorcios;14.2172;A
2018;11;01;06;Divorcios;2466.8376;A
2018;11;06;00;Divorcios;9.2867;A
2018;11;06;06;Divorcios;9.2867;A
2018;14;00;00;Divorcios;1405.7198;A
2018;14;00;01;Divorcios;3.0986;A
2018;14;00;06;Divorcios;1402.6212;A
2018;14;01;00;Divorcios;1401.7838;A
2018;14;01;01;Divorcios;3.0986;A
2018;14;01;06;Divorcios;1398.6852;A
2018;14;06;00;Divorcios;3.936;A
2018;14;06;06;Divorcios;3.936;A
2018;18;00;00;Divorcios;1684.5826;A
2018;18;00;01;Divorcios;9.7507;A
2018;18;00;06;Divorcios;1674.8319;A
2018;18;01;00;Divorcios;1681.8447;A
2018;18;01;01;Divorcios;9.7507;A
2018;18;01;06;Divorcios;1672.094;A
2018;18;06;00;Divorcios;2.7379;A
2018;18;06;06;Divorcios;2.7379;A
2018;21;00;00;Divorcios;986.218;A
2018;21;00;06;Divorcios;986.218;A
2018;21;01;00;Divorcios;983.16;A
2018;21;01;06;Divorcios;983.16;A
2018;21;06;00;Divorcios;3.058;A
2018;21;06;06;Divorcios;3.058;A
2018;23;00;00;Divorcios;1108.2069;A
2018;23;00;01;Divorcios;;A
2018;23;00;06;Divorcios;1108.2069;A
2018;23;01;00;Divorcios;1108.2069;A
2018;23;01;01;Divorcios;;A
2018;23;01;06;Divorcios;1108.2069;A
2018;29;00;00;Divorcios;3718.358;A
2018;29;00;01;Divorcios;16.1591;A
2018;29;00;06;Divorcios;3702.1989;A
2018;29;01;00;Divorcios;3699.1392;A
2018;29;01;01;Divorcios;16.1591;A
2018;29;01;06;Divorcios;3682.9801;A
2018;29;06;00;Divorcios;19.2188;A
2018;29;06;06;Divorcios;19.2188;A
2018;41;00;00;Divorcios;4085.2617;A
2018;41;00;01;Divorcios;25.2238;A
2018;41;00;06;Divorcios;4060.0379;A
2018;41;01;00;Divorcios;4061.3683;A
2018;41;01;01;Divorcios;25.2238;A
2018;41;01;06;Divorcios;4036.1445;A
2018;41;06;00;Divorcios;23.8934;A
2018;41;06;06;Divorcios;23.8934;A
2017;C01;00;00;Divorcios;17436.6101;A
2017;C01;00;01;Divorcios;84.466;A
2017;C01;00;06;Divorcios;17352.1441;A
2017;C01;01;00;Divorcios;17360.3961;A
2017;C01;01;01;Divorcios;84.466;A
2017;C01;01;06;Divorcios;17275.9301;A
2017;C01;06;00;Divorcios;76.214;A
2017;C01;06;06;Divorcios;76.214;A
2017;04;00;00;Divorcios;1454.7143;A
2017;04;00;01;Divorcios;3.5677;A
2017;04;00;06;Divorcios;1451.1466;A
2017;04;01;00;Divorcios;1449.6254;A
2017;04;01;01;Divorcios;3.5677;A
2017;04;01;06;Divorcios;1446.0577;A
2017;04;06;00;Divorcios;5.0889;A
2017;04;06;06;Divorcios;5.0889;A
2017;11;00;00;Divorcios;2406.3281;A
2017;11;00;01;Divorcios;12.8913;A
2017;11;00;06;Divorcios;2393.4368;A
2017;11;01;00;Divorcios;2381.5942;A
2017;11;01;01;Divorcios;12.8913;A
2017;11;01;06;Divorcios;2368.7029;A
2017;11;06;00;Divorcios;24.7339;A
2017;11;06;06;Divorcios;24.7339;A
2017;14;00;00;Divorcios;1426.032;A
2017;14;00;01;Divorcios;6.6085;A
2017;14;00;06;Divorcios;1419.4235;A
2017;14;01;00;Divorcios;1411.8085;A
2017;14;01;01;Divorcios;6.6085;A
2017;14;01;06;Divorcios;1405.2;A
2017;14;06;00;Divorcios;14.2235;A
2017;14;06;06;Divorcios;14.2235;A
2017;18;00;00;Divorcios;1990.6668;A
2017;18;00;01;Divorcios;16.8724;A
2017;18;00;06;Divorcios;1973.7944;A
2017;18;01;00;Divorcios;1986.6364;A
2017;18;01;01;Divorcios;16.8724;A
2017;18;01;06;Divorcios;1969.764;A
2017;18;06;00;Divorcios;4.0304;A
2017;18;06;06;Divorcios;4.0304;A
2017;21;00;00;Divorcios;1060.4795;A
2017;21;00;01;Divorcios;6.5155;A
2017;21;00;06;Divorcios;1053.964;A
2017;21;01;00;Divorcios;1058.4987;A
2017;21;01;01;Divorcios;6.5155;A
2017;21;01;06;Divorcios;1051.9832;A
2017;21;06;00;Divorcios;1.9808;A
2017;21;06;06;Divorcios;1.9808;A
2017;23;00;00;Divorcios;1127.8821;A
2017;23;00;06;Divorcios;1127.8821;A
2017;23;01;00;Divorcios;1127.8821;A
2017;23;01;06;Divorcios;1127.8821;A
2017;29;00;00;Divorcios;3652.1307;A
2017;29;00;01;Divorcios;21.7821;A
2017;29;00;06;Divorcios;3630.3486;A
2017;29;01;00;Divorcios;3636.7047;A
2017;29;01;01;Divorcios;21.7821;A
2017;29;01;06;Divorcios;3614.9226;A
2017;29;06;00;Divorcios;15.426;A
2017;29;06;06;Divorcios;15.426;A
2017;41;00;00;Divorcios;4318.3766;A
2017;41;00;01;Divorcios;16.2285;A
2017;41;00;06;Divorcios;4302.1481;A
2017;41;01;00;Divorcios;4307.6461;A
2017;41;01;01;Divorcios;16.2285;A
2017;41;01;06;Divorcios;4291.4176;A
2017;41;06;00;Divorcios;10.7305;A
2017;41;06;06;Divorcios;10.7305;A
2016;C01;00;00;Divorcios;16968.2676;A
2016;C01;00;01;Divorcios;118.7851;A
2016;C01;00;06;Divorcios;16849.4825;A
2016;C01;01;00;Divorcios;16897.6259;A
2016;C01;01;01;Divorcios;118.7851;A
2016;C01;01;06;Divorcios;16778.8408;A
2016;C01;06;00;Divorcios;70.6417;A
2016;C01;06;06;Divorcios;70.6417;A
2016;04;00;00;Divorcios;1425.5804;A
2016;04;00;01;Divorcios;1.3299;A
2016;04;00;06;Divorcios;1424.2505;A
2016;04;01;00;Divorcios;1416.2608;A
2016;04;01;01;Divorcios;1.3299;A
2016;04;01;06;Divorcios;1414.9309;A
2016;04;06;00;Divorcios;9.3196;A
2016;04;06;06;Divorcios;9.3196;A
2016;11;00;00;Divorcios;2275.825;A
2016;11;00;01;Divorcios;12.4596;A
2016;11;00;06;Divorcios;2263.3654;A
2016;11;01;00;Divorcios;2270.0952;A
2016;11;01;01;Divorcios;12.4596;A
2016;11;01;06;Divorcios;2257.6356;A
2016;11;06;00;Divorcios;5.7298;A
2016;11;06;06;Divorcios;5.7298;A
2016;14;00;00;Divorcios;1473.292;A
2016;14;00;01;Divorcios;14.6098;A
2016;14;00;06;Divorcios;1458.6822;A
2016;14;01;00;Divorcios;1466.7675;A
2016;14;01;01;Divorcios;14.6098;A
2016;14;01;06;Divorcios;1452.1577;A
2016;14;06;00;Divorcios;6.5245;A
2016;14;06;06;Divorcios;6.5245;A
2016;18;00;00;Divorcios;1937.4432;A
2016;18;00;01;Divorcios;16.3728;A
2016;18;00;06;Divorcios;1921.0704;A
2016;18;01;00;Divorcios;1929.9856;A
2016;18;01;01;Divorcios;16.3728;A
2016;18;01;06;Divorcios;1913.6128;A
2016;18;06;00;Divorcios;7.4576;A
2016;18;06;06;Divorcios;7.4576;A
2016;21;00;00;Divorcios;1053.5608;A
2016;21;00;01;Divorcios;6.1876;A
2016;21;00;06;Divorcios;1047.3732;A
2016;21;01;00;Divorcios;1047.3732;A
2016;21;01;01;Divorcios;6.1876;A
2016;21;01;06;Divorcios;1041.1856;A
2016;21;06;00;Divorcios;6.1876;A
2016;21;06;06;Divorcios;6.1876;A
2016;23;00;00;Divorcios;1120.7404;A
2016;23;00;01;Divorcios;6.9792;A
2016;23;00;06;Divorcios;1113.7612;A
2016;23;01;00;Divorcios;1119.2456;A
2016;23;01;01;Divorcios;6.9792;A
2016;23;01;06;Divorcios;1112.2664;A
2016;23;06;00;Divorcios;1.4948;A
2016;23;06;06;Divorcios;1.4948;A
2016;29;00;00;Divorcios;3657.8326;A
2016;29;00;01;Divorcios;35.5078;A
2016;29;00;06;Divorcios;3622.3248;A
2016;29;01;00;Divorcios;3642.8278;A
2016;29;01;01;Divorcios;35.5078;A
2016;29;01;06;Divorcios;3607.32;A
2016;29;06;00;Divorcios;15.0048;A
2016;29;06;06;Divorcios;15.0048;A
2016;41;00;00;Divorcios;4023.9932;A
2016;41;00;01;Divorcios;25.3384;A
2016;41;00;06;Divorcios;3998.6548;A
2016;41;01;00;Divorcios;4005.0702;A
2016;41;01;01;Divorcios;25.3384;A
2016;41;01;06;Divorcios;3979.7318;A
2016;41;06;00;Divorcios;18.923;A
2016;41;06;06;Divorcios;18.923;A
2015;C01;00;00;Divorcios;17029.5907;A
2015;C01;00;01;Divorcios;55.0451;A
2015;C01;00;06;Divorcios;16974.5456;A
2015;C01;01;00;Divorcios;16967.1442;A
2015;C01;01;01;Divorcios;55.0451;A
2015;C01;01;06;Divorcios;16912.0991;A
2015;C01;06;00;Divorcios;62.4465;A
2015;C01;06;06;Divorcios;62.4465;A
2015;04;00;00;Divorcios;1398.5163;A
2015;04;00;01;Divorcios;3.1572;A
2015;04;00;06;Divorcios;1395.3591;A
2015;04;01;00;Divorcios;1395.3591;A
2015;04;01;01;Divorcios;3.1572;A
2015;04;01;06;Divorcios;1392.2019;A
2015;04;06;00;Divorcios;3.1572;A
2015;04;06;06;Divorcios;3.1572;A
2015;11;00;00;Divorcios;2355.5567;A
2015;11;00;01;Divorcios;9.5628;A
2015;11;00;06;Divorcios;2345.9939;A
2015;11;01;00;Divorcios;2343.5907;A
2015;11;01;01;Divorcios;9.5628;A
2015;11;01;06;Divorcios;2334.0279;A
2015;11;06;00;Divorcios;11.966;A
2015;11;06;06;Divorcios;11.966;A
2015;14;00;00;Divorcios;1621.987;A
2015;14;00;01;Divorcios;1.4895;A
2015;14;00;06;Divorcios;1620.4975;A
2015;14;01;00;Divorcios;1619.008;A
2015;14;01;01;Divorcios;1.4895;A
2015;14;01;06;Divorcios;1617.5185;A
2015;14;06;00;Divorcios;2.979;A
2015;14;06;06;Divorcios;2.979;A
2015;18;00;00;Divorcios;1864.9266;A
2015;18;00;01;Divorcios;1.719;A
2015;18;00;06;Divorcios;1863.2076;A
2015;18;01;00;Divorcios;1856.3316;A
2015;18;01;01;Divorcios;1.719;A
2015;18;01;06;Divorcios;1854.6126;A
2015;18;06;00;Divorcios;8.595;A
2015;18;06;06;Divorcios;8.595;A
2015;21;00;00;Divorcios;1022.9657;A
2015;21;00;01;Divorcios;6.7532;A
2015;21;00;06;Divorcios;1016.2125;A
2015;21;01;00;Divorcios;1018.508;A
2015;21;01;01;Divorcios;6.7532;A
2015;21;01;06;Divorcios;1011.7548;A
2015;21;06;00;Divorcios;4.4577;A
2015;21;06;06;Divorcios;4.4577;A
2015;23;00;00;Divorcios;1197.5493;A
2015;23;00;01;Divorcios;3.0382;A
2015;23;00;06;Divorcios;1194.5111;A
2015;23;01;00;Divorcios;1196.0302;A
2015;23;01;01;Divorcios;3.0382;A
2015;23;01;06;Divorcios;1192.992;A
2015;23;06;00;Divorcios;1.5191;A
2015;23;06;06;Divorcios;1.5191;A
2015;29;00;00;Divorcios;3560.4711;A
2015;29;00;01;Divorcios;18.042;A
2015;29;00;06;Divorcios;3542.4291;A
2015;29;01;00;Divorcios;3540.2172;A
2015;29;01;01;Divorcios;18.042;A
2015;29;01;06;Divorcios;3522.1752;A
2015;29;06;00;Divorcios;20.2539;A
2015;29;06;06;Divorcios;20.2539;A
2015;41;00;00;Divorcios;4007.618;A
2015;41;00;01;Divorcios;11.2832;A
2015;41;00;06;Divorcios;3996.3348;A
2015;41;01;00;Divorcios;3998.0994;A
2015;41;01;01;Divorcios;11.2832;A
2015;41;01;06;Divorcios;3986.8162;A
2015;41;06;00;Divorcios;9.5186;A
2015;41;06;06;Divorcios;9.5186;A
2014;C01;00;00;Divorcios;17376.98787;A
2014;C01;00;01;Divorcios;67.64096;A
2014;C01;00;06;Divorcios;17309.34691;A
2014;C01;01;00;Divorcios;17334.61457;A
2014;C01;01;01;Divorcios;67.64096;A
2014;C01;01;06;Divorcios;17266.97361;A
2014;C01;06;00;Divorcios;42.3733;A
2014;C01;06;06;Divorcios;42.3733;A
2014;04;00;00;Divorcios;1315.503;A
2014;04;00;01;Divorcios;2.826;A
2014;04;00;06;Divorcios;1312.677;A
2014;04;01;00;Divorcios;1311.264;A
2014;04;01;01;Divorcios;2.826;A
2014;04;01;06;Divorcios;1308.438;A
2014;04;06;00;Divorcios;4.239;A
2014;04;06;06;Divorcios;4.239;A
2014;11;00;00;Divorcios;2485.68082;A
2014;11;00;01;Divorcios;7.51415;A
2014;11;00;06;Divorcios;2478.16667;A
2014;11;01;00;Divorcios;2478.16667;A
2014;11;01;01;Divorcios;7.51415;A
2014;11;01;06;Divorcios;2470.65252;A
2014;11;06;00;Divorcios;7.51415;A
2014;11;06;06;Divorcios;7.51415;A
2014;14;00;00;Divorcios;1712.10316;A
2014;14;00;01;Divorcios;3.33094;A
2014;14;00;06;Divorcios;1708.77222;A
2014;14;01;00;Divorcios;1708.77222;A
2014;14;01;01;Divorcios;3.33094;A
2014;14;01;06;Divorcios;1705.44128;A
2014;14;06;00;Divorcios;3.33094;A
2014;14;06;06;Divorcios;3.33094;A
2014;18;00;00;Divorcios;1848.68385;A
2014;18;00;01;Divorcios;13.67145;A
2014;18;00;06;Divorcios;1835.0124;A
2014;18;01;00;Divorcios;1845.64575;A
2014;18;01;01;Divorcios;13.67145;A
2014;18;01;06;Divorcios;1831.9743;A
2014;18;06;00;Divorcios;3.0381;A
2014;18;06;06;Divorcios;3.0381;A
2014;21;00;00;Divorcios;1140.17566;A
2014;21;00;01;Divorcios;4.24383;A
2014;21;00;06;Divorcios;1135.93183;A
2014;21;01;00;Divorcios;1137.34644;A
2014;21;01;01;Divorcios;4.24383;A
2014;21;01;06;Divorcios;1133.10261;A
2014;21;06;00;Divorcios;2.82922;A
2014;21;06;06;Divorcios;2.82922;A
2014;23;00;00;Divorcios;1180.1112;A
2014;23;00;06;Divorcios;1180.1112;A
2014;23;01;00;Divorcios;1178.6434;A
2014;23;01;06;Divorcios;1178.6434;A
2014;23;06;00;Divorcios;1.4678;A
2014;23;06;06;Divorcios;1.4678;A
2014;29;00;00;Divorcios;3567.8708;A
2014;29;00;01;Divorcios;19.3206;A
2014;29;00;06;Divorcios;3548.5502;A
2014;29;01;00;Divorcios;3564.6507;A
2014;29;01;01;Divorcios;19.3206;A
2014;29;01;06;Divorcios;3545.3301;A
2014;29;06;00;Divorcios;3.2201;A
2014;29;06;06;Divorcios;3.2201;A
2014;41;00;00;Divorcios;4126.85938;A
2014;41;00;01;Divorcios;16.73399;A
2014;41;00;06;Divorcios;4110.12539;A
2014;41;01;00;Divorcios;4110.12539;A
2014;41;01;01;Divorcios;16.73399;A
2014;41;01;06;Divorcios;4093.3914;A
2014;41;06;00;Divorcios;16.73399;A
2014;41;06;06;Divorcios;16.73399;A
2013;C01;00;00;Divorcios;16473.17478;A
2013;C01;00;01;Divorcios;32.43898;A
2013;C01;00;06;Divorcios;16440.7358;A
2013;C01;01;00;Divorcios;16440.72125;A
2013;C01;01;01;Divorcios;32.43898;A
2013;C01;01;06;Divorcios;16408.28227;A
2013;C01;06;00;Divorcios;32.45353;A
2013;C01;06;06;Divorcios;32.45353;A
2013;04;00;00;Divorcios;1267.4696;A
2013;04;00;01;Divorcios;3.2836;A
2013;04;00;06;Divorcios;1264.186;A
2013;04;01;00;Divorcios;1265.8278;A
2013;04;01;01;Divorcios;3.2836;A
2013;04;01;06;Divorcios;1262.5442;A
2013;04;06;00;Divorcios;1.6418;A
2013;04;06;06;Divorcios;1.6418;A
2013;11;00;00;Divorcios;2358.7305;A
2013;11;00;01;Divorcios;5.8602;A
2013;11;00;06;Divorcios;2352.8703;A
2013;11;01;00;Divorcios;2354.33535;A
2013;11;01;01;Divorcios;5.8602;A
2013;11;01;06;Divorcios;2348.47515;A
2013;11;06;00;Divorcios;4.39515;A
2013;11;06;06;Divorcios;4.39515;A
2013;14;00;00;Divorcios;1452.76866;A
2013;14;00;01;Divorcios;2.71292;A
2013;14;00;06;Divorcios;1450.05574;A
2013;14;01;00;Divorcios;1451.4122;A
2013;14;01;01;Divorcios;2.71292;A
2013;14;01;06;Divorcios;1448.69928;A
2013;14;06;00;Divorcios;1.35646;A
2013;14;06;06;Divorcios;1.35646;A
2013;18;00;00;Divorcios;1822.15704;A
2013;18;00;01;Divorcios;5.45556;A
2013;18;00;06;Divorcios;1816.70148;A
2013;18;01;00;Divorcios;1819.42926;A
2013;18;01;01;Divorcios;5.45556;A
2013;18;01;06;Divorcios;1813.9737;A
2013;18;06;00;Divorcios;2.72778;A
2013;18;06;06;Divorcios;2.72778;A
2013;21;00;00;Divorcios;995.33511;A
2013;21;00;01;Divorcios;1.43627;A
2013;21;00;06;Divorcios;993.89884;A
2013;21;01;00;Divorcios;992.46257;A
2013;21;01;01;Divorcios;1.43627;A
2013;21;01;06;Divorcios;991.0263;A
2013;21;06;00;Divorcios;2.87254;A
2013;21;06;06;Divorcios;2.87254;A
2013;23;00;00;Divorcios;1155.71547;A
2013;23;00;01;Divorcios;1.41113;A
2013;23;00;06;Divorcios;1154.30434;A
2013;23;01;00;Divorcios;1155.71547;A
2013;23;01;01;Divorcios;1.41113;A
2013;23;01;06;Divorcios;1154.30434;A
2013;29;00;00;Divorcios;3581.6334;A
2013;29;00;01;Divorcios;4.3083;A
2013;29;00;06;Divorcios;3577.3251;A
2013;29;01;00;Divorcios;3570.1446;A
2013;29;01;01;Divorcios;4.3083;A
2013;29;01;06;Divorcios;3565.8363;A
2013;29;06;00;Divorcios;11.4888;A
2013;29;06;06;Divorcios;11.4888;A
2013;41;00;00;Divorcios;3839.365;A
2013;41;00;01;Divorcios;7.971;A
2013;41;00;06;Divorcios;3831.394;A
2013;41;01;00;Divorcios;3831.394;A
2013;41;01;01;Divorcios;7.971;A
2013;41;01;06;Divorcios;3823.423;A
2013;41;06;00;Divorcios;7.971;A
2013;41;06;06;Divorcios;7.971;A
2012;C01;00;00;Divorcios;19100.05171;A
2012;C01;00;01;Divorcios;40.0;A
2012;C01;00;06;Divorcios;19060.05171;A
2012;C01;01;00;Divorcios;19084.05171;A
2012;C01;01;01;Divorcios;40.0;A
2012;C01;01;06;Divorcios;19044.05171;A
2012;C01;06;00;Divorcios;16.0;A
2012;C01;06;06;Divorcios;16.0;A
2012;04;00;00;Divorcios;1673.28115;A
2012;04;00;01;Divorcios;2.0;A
2012;04;00;06;Divorcios;1671.28115;A
2012;04;01;00;Divorcios;1672.28115;A
2012;04;01;01;Divorcios;2.0;A
2012;04;01;06;Divorcios;1670.28115;A
2012;04;06;00;Divorcios;1.0;A
2012;04;06;06;Divorcios;1.0;A
2012;11;00;00;Divorcios;2751.43454;A
2012;11;00;01;Divorcios;6.0;A
2012;11;00;06;Divorcios;2745.43454;A
2012;11;01;00;Divorcios;2751.43454;A
2012;11;01;01;Divorcios;6.0;A
2012;11;01;06;Divorcios;2745.43454;A
2012;14;00;00;Divorcios;1519.27045;A
2012;14;00;01;Divorcios;4.0;A
2012;14;00;06;Divorcios;1515.27045;A
2012;14;01;00;Divorcios;1519.27045;A
2012;14;01;01;Divorcios;4.0;A
2012;14;01;06;Divorcios;1515.27045;A
2012;18;00;00;Divorcios;2194.10578;A
2012;18;00;01;Divorcios;4.0;A
2012;18;00;06;Divorcios;2190.10578;A
2012;18;01;00;Divorcios;2192.10578;A
2012;18;01;01;Divorcios;4.0;A
2012;18;01;06;Divorcios;2188.10578;A
2012;18;06;00;Divorcios;2.0;A
2012;18;06;06;Divorcios;2.0;A
2012;21;00;00;Divorcios;1090.26737;A
2012;21;00;06;Divorcios;1090.26737;A
2012;21;01;00;Divorcios;1090.26737;A
2012;21;01;06;Divorcios;1090.26737;A
2012;23;00;00;Divorcios;1282.34085;A
2012;23;00;01;Divorcios;1.0;A
2012;23;00;06;Divorcios;1281.34085;A
2012;23;01;00;Divorcios;1282.34085;A
2012;23;01;01;Divorcios;1.0;A
2012;23;01;06;Divorcios;1281.34085;A
2012;29;00;00;Divorcios;4090.46015;A
2012;29;00;01;Divorcios;14.0;A
2012;29;00;06;Divorcios;4076.46015;A
2012;29;01;00;Divorcios;4083.46015;A
2012;29;01;01;Divorcios;14.0;A
2012;29;01;06;Divorcios;4069.46015;A
2012;29;06;00;Divorcios;7.0;A
2012;29;06;06;Divorcios;7.0;A
2012;41;00;00;Divorcios;4498.89142;A
2012;41;00;01;Divorcios;9.0;A
2012;41;00;06;Divorcios;4489.89142;A
2012;41;01;00;Divorcios;4492.89142;A
2012;41;01;01;Divorcios;9.0;A
2012;41;01;06;Divorcios;4483.89142;A
2012;41;06;00;Divorcios;6.0;A
